gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022400408,601,PT02M19.00S,4,1610612744,GSW,201939,Curry,S. Curry,191,203,28,Missed,1,,,0,h,MISS Curry 28' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,430
0022400408,602,PT02M16.00S,4,1610612747,LAL,1631108,Christie,M. Christie,0,0,0,,0,,,0,v,Christie REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,431
0022400408,603,PT02M00.00S,4,1610612747,LAL,1631108,Christie,M. Christie,229,5,0,Missed,1,,,0,v,MISS Christie 3PT Jump Shot,Missed Shot,Jump Shot,1,3,432
0022400408,604,PT01M57.00S,4,1610612744,GSW,203952,Wiggins,A. Wiggins,0,0,0,,0,,,0,h,Wiggins REBOUND (Off:5 Def:6),Rebound,Unknown,1,0,433
0022400408,605,PT01M49.00S,4,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,,,0,v,Vincent P.FOUL (P3.PN) (S.Foster),Foul,Personal,1,0,434
0022400408,607,PT01M49.00S,4,1610612744,GSW,1630228,Kuminga,J. Kuminga,0,0,0,,0,,,0,h,MISS Kuminga Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1,0,435
0022400408,608,PT01M49.00S,4,0,,1610612744,,,0,0,0,,0,,,0,h,WARRIORS Rebound,Rebound,Normal Rebound,0,0,436
0022400408,609,PT01M49.00S,4,1610612744,GSW,1630228,Kuminga,J. Kuminga,0,0,0,,0,100,107,207,h,Kuminga Free Throw 2 of 2 (12 PTS),Free Throw,Free Throw 2 of 2,1,0,437
0022400408,610,PT01M30.00S,4,1610612747,LAL,1631108,Christie,M. Christie,-47,36,6,Made,1,100,109,209,v,Christie 6' Cutting Layup Shot (14 PTS) (L. James 10 AST),Made Shot,Cutting Layup Shot,1,2,438
0022400408,612,PT01M21.00S,4,1610612744,GSW,1630228,Kuminga,J. Kuminga,-17,14,2,Made,1,102,109,211,h,Kuminga 2' Reverse Dunk (14 PTS) (Curry 6 AST),Made Shot,Reverse Dunk Shot,1,2,439
0022400408,614,PT00M59.20S,4,1610612747,LAL,2544,James,L. James,-115,125,17,Missed,1,,,0,v,MISS L. James 17' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,2,440
0022400408,615,PT00M56.80S,4,1610612744,GSW,203952,Wiggins,A. Wiggins,0,0,0,,0,,,0,h,Wiggins REBOUND (Off:5 Def:7),Rebound,Unknown,1,0,441
0022400408,616,PT00M52.00S,4,1610612744,GSW,203952,Wiggins,A. Wiggins,-16,47,5,Missed,1,,,0,h,MISS Wiggins 5' Running Layup,Missed Shot,Running Layup Shot,1,2,442
0022400408,616,PT00M52.00S,4,1610612747,LAL,2544,James,L. James,0,0,0,,0,,,0,v,L. James BLOCK (1 BLK),,,1,2,443
0022400408,618,PT00M52.00S,4,1610612744,GSW,203110,Green,D. Green,0,0,0,,0,,,0,h,Green REBOUND (Off:4 Def:6),Rebound,Unknown,1,0,444
0022400408,619,PT00M48.40S,4,1610612744,GSW,203471,Schröder,D. Schröder,-158,210,26,Made,1,105,109,214,h,Schroder 26' 3PT Jump Shot (11 PTS) (Green 5 AST),Made Shot,Jump Shot,1,3,445
0022400408,621,PT00M33.50S,4,1610612747,LAL,1630559,Reaves,A. Reaves,-127,258,29,Missed,1,,,0,v,MISS Reaves 29' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,446
0022400408,622,PT00M30.30S,4,1610612744,GSW,1630228,Kuminga,J. Kuminga,0,0,0,,0,,,0,h,Kuminga REBOUND (Off:0 Def:6),Rebound,Unknown,1,0,447
0022400408,623,PT00M25.70S,4,1610612744,GSW,201939,Curry,S. Curry,-23,5,2,Made,1,107,109,216,h,Curry 2' Running Reverse Layup (32 PTS),Made Shot,Running Reverse Layup Shot,1,2,448
0022400408,625,PT00M25.70S,4,0,,1610612747,,,0,0,0,,0,,,0,v,Lakers Timeout: Regular (Reg.6 Short 0),Timeout,Regular,0,0,449
0022400408,629,PT00M24.50S,4,1610612744,GSW,203110,Green,D. Green,0,0,0,,0,,,0,h,Green P.FOUL (P5.T4) (S.Foster),Foul,Personal,1,0,450
0022400408,631,PT00M22.30S,4,1610612744,GSW,201939,Curry,S. Curry,0,0,0,,0,,,0,h,Curry P.FOUL (P3.PN) (S.Foster),Foul,Personal,1,0,451
0022400408,633,PT00M22.30S,4,1610612747,LAL,1631108,Christie,M. Christie,0,0,0,,0,107,110,217,v,Christie Free Throw 1 of 2 (15 PTS),Free Throw,Free Throw 1 of 2,1,0,452
0022400408,634,PT00M22.30S,4,1610612747,LAL,1631108,Christie,M. Christie,0,0,0,,0,107,111,218,v,Christie Free Throw 2 of 2 (16 PTS),Free Throw,Free Throw 2 of 2,1,0,453
0022400408,635,PT00M22.30S,4,0,,1610612744,,,0,0,0,,0,,,0,h,WARRIORS Timeout: Regular (Full 6 Short 0),Timeout,Regular,0,0,454
0022400408,636,PT00M22.30S,4,1610612744,GSW,1630228,Kuminga,J. Kuminga,0,0,0,,0,,,0,h,SUB: Hield FOR Kuminga,Substitution,,0,0,455
0022400408,639,PT00M12.90S,4,1610612744,GSW,201939,Curry,S. Curry,225,43,0,Made,1,110,111,221,h,Curry 3PT Jump Shot (35 PTS) (Green 6 AST),Made Shot,Jump Shot,1,3,456
0022400408,641,PT00M08.90S,4,1610612744,GSW,203471,Schröder,D. Schröder,0,0,0,,0,,,0,h,Schroder P.FOUL (P4.PN) (J.Van Duyne),Foul,Personal,1,0,457
0022400408,643,PT00M08.90S,4,1610612747,LAL,1630559,Reaves,A. Reaves,0,0,0,,0,110,112,222,v,Reaves Free Throw 1 of 2 (23 PTS),Free Throw,Free Throw 1 of 2,1,0,458
0022400408,644,PT00M08.90S,4,1610612744,GSW,1627741,Hield,B. Hield,0,0,0,,0,,,0,h,SUB: Looney FOR Hield,Substitution,,0,0,459
0022400408,646,PT00M08.90S,4,1610612747,LAL,1630559,Reaves,A. Reaves,0,0,0,,0,110,113,223,v,Reaves Free Throw 2 of 2 (24 PTS),Free Throw,Free Throw 2 of 2,1,0,460
0022400408,647,PT00M08.90S,4,0,,1610612744,,,0,0,0,,0,,,0,h,WARRIORS Timeout: Regular (Full 7 Short 0),Timeout,Regular,0,0,461
0022400408,648,PT00M08.90S,4,1610612744,GSW,1626172,Looney,K. Looney,0,0,0,,0,,,0,h,SUB: Hield FOR Looney,Substitution,,0,0,462
0022400408,650,PT00M07.60S,4,1610612744,GSW,201939,Curry,S. Curry,-125,285,31,Made,1,113,113,226,h,Curry 31' 3PT Jump Shot (38 PTS) (Wiggins 3 AST),Made Shot,Jump Shot,1,3,463
0022400408,652,PT00M06.30S,4,0,,1610612747,,,0,0,0,,0,,,0,v,Lakers Timeout: Regular (Reg.7 Short 0),Timeout,Regular,0,0,464
0022400408,653,PT00M06.30S,4,1610612744,GSW,1627741,Hield,B. Hield,0,0,0,,0,,,0,h,SUB: Kuminga FOR Hield,Substitution,,0,0,465
0022400408,655,PT00M01.70S,4,1610612747,LAL,1630559,Reaves,A. Reaves,-29,18,3,Made,1,113,115,228,v,Reaves 3' Driving Layup (26 PTS),Made Shot,Driving Layup Shot,1,2,466
0022400408,656,PT00M00.00S,4,0,,0,,,0,0,0,,0,113,115,228,,End of 4th Period (10:32 PM EST),period,end,1,0,467
